enemy_unit_type,odds_of_victory,planet,population,size_of_force,universe
tank,0.1846633850917465,Aiur,5.1,46000,Zendikar
negator,0.8088180052302391,Ravnica,7.3,88000,Dominaria
negator,0.22050489641049376,Korhal,6.7,46000,Zendikar
zealot,0.04934430595087358,Kamigawa,3.4,3000,Dominaria
tank,0.18723087060661459,Aiur,5.1,4000,Zendikar
zealot,0.9075392449658423,Aiur,5.1,68000,Zendikar
battleship,0.08699526283582859,Korhal,6.7,55000,Zendikar
overlord,0.5556368627236176,Kamigawa,3.4,69000,Dominaria
tank,0.2747673284576181,Kamigawa,3.4,37000,Dominaria
battleship,0.6503816642649426,Aiur,5.1,52000,Zendikar
negator,0.39200706401655716,Eos,8.5,25000,Mirrodin
overlord,0.5676959305178114,Korhal,6.7,42000,Zendikar
drone,0.30657971369447135,Aiur,5.1,93000,Zendikar
negator,0.4839240370066118,Ravnica,7.3,51000,Dominaria
scout,0.637804927362076,Korhal,6.7,40000,Zendikar
drone,0.11514606364584878,Korhal,6.7,33000,Zendikar
overlord,0.783814237781167,Eos,8.5,61000,Mirrodin
overlord,0.05420790037005596,Gaia,6.7,58000,Mirrodin
dreadnought,0.5777109906062611,Eos,8.5,5000,Mirrodin
drone,0.42870122619106266,Ravnica,7.3,94000,Dominaria
negator,0.8265738387580103,Eos,8.5,44000,Mirrodin
mecha,0.9014239804459133,Ravnica,7.3,97000,Dominaria
overlord,0.005474901046976788,Ravnica,7.3,68000,Dominaria
mecha,0.517208045611188,Kamigawa,3.4,15000,Dominaria
zealot,0.00999672063719692,Aiur,5.1,25000,Zendikar
drone,0.4174710488320641,Eos,8.5,17000,Mirrodin
mecha,0.6884179693814636,Korhal,6.7,25000,Zendikar
overlord,0.7986092566375959,Kamigawa,3.4,34000,Dominaria
drone,0.8834916904390225,Kamigawa,3.4,19000,Dominaria
overlord,0.6890653279175619,Ravnica,7.3,1000,Dominaria
tank,0.2828140729875148,Kamigawa,3.4,76000,Dominaria
dreadnought,0.1227567084579666,Korhal,6.7,57000,Zendikar
scout,0.1329808429406606,Aiur,5.1,53000,Zendikar
dreadnought,0.684488083018691,Ravnica,7.3,22000,Dominaria
battleship,0.0346221760100307,Eos,8.5,95000,Mirrodin
mecha,0.6490755557214206,Aiur,5.1,56000,Zendikar
dreadnought,0.34834831821143974,Gaia,6.7,88000,Mirrodin
drone,0.5246681534073073,Eos,8.5,27000,Mirrodin
zealot,0.4357915828508041,Gaia,6.7,14000,Mirrodin
tank,0.7423970378671048,Korhal,6.7,55000,Zendikar
battleship,0.9247561262048749,Kamigawa,3.4,48000,Dominaria
dreadnought,0.5973013150015193,Kamigawa,3.4,22000,Dominaria
overlord,0.6981130752000408,Ravnica,7.3,33000,Dominaria
dreadnought,0.04663005918802332,Gaia,6.7,77000,Mirrodin
tank,0.9687953316505955,Aiur,5.1,37000,Zendikar
battleship,0.4895860785443503,Eos,8.5,13000,Mirrodin
tank,0.2847904078535044,Gaia,6.7,80000,Mirrodin
dreadnought,0.8955161255880668,Eos,8.5,18000,Mirrodin
negator,0.3654144340965435,Ravnica,7.3,92000,Dominaria
zealot,0.09449056070236084,Korhal,6.7,20000,Zendikar
mecha,0.25782232991274934,Kamigawa,3.4,14000,Dominaria
dreadnought,0.32603203294840655,Korhal,6.7,70000,Zendikar
overlord,0.10727882453950688,Aiur,5.1,98000,Zendikar
dreadnought,0.2229501677050313,Gaia,6.7,93000,Mirrodin
overlord,0.021528815942731594,Kamigawa,3.4,77000,Dominaria
drone,0.7924352128977294,Aiur,5.1,71000,Zendikar
dreadnought,0.02108901575841504,Ravnica,7.3,29000,Dominaria
battleship,0.9041392927503177,Aiur,5.1,73000,Zendikar
battleship,0.33427275111681454,Aiur,5.1,87000,Zendikar
overlord,0.637845437765557,Ravnica,7.3,49000,Dominaria
tank,0.4504096325345679,Gaia,6.7,7000,Mirrodin
overlord,0.9581559380677586,Ravnica,7.3,22000,Dominaria
negator,0.4065053354053594,Eos,8.5,84000,Mirrodin
negator,0.7829195102051024,Aiur,5.1,88000,Zendikar
zealot,0.6378178176603482,Eos,8.5,89000,Mirrodin
battleship,0.9134502400755963,Ravnica,7.3,64000,Dominaria
dreadnought,0.9015897065080525,Ravnica,7.3,81000,Dominaria
zealot,0.3490204162248449,Aiur,5.1,62000,Zendikar
negator,0.9410380756560945,Kamigawa,3.4,81000,Dominaria
dreadnought,0.33950914507565433,Korhal,6.7,98000,Zendikar
drone,0.2968814020458225,Aiur,5.1,61000,Zendikar
battleship,0.9064329479138014,Ravnica,7.3,76000,Dominaria
scout,0.03817269528576317,Kamigawa,3.4,28000,Dominaria
overlord,0.2650172607081529,Gaia,6.7,43000,Mirrodin
drone,0.23119092595030877,Korhal,6.7,88000,Zendikar
drone,0.9232563709977035,Aiur,5.1,13000,Zendikar
battleship,0.5360994934182506,Kamigawa,3.4,4000,Dominaria
overlord,0.21505449921637854,Ravnica,7.3,45000,Dominaria
mecha,0.26893575983729645,Kamigawa,3.4,83000,Dominaria
negator,0.6395524109536983,Aiur,5.1,60000,Zendikar
negator,0.9206019946369995,Kamigawa,3.4,14000,Dominaria
overlord,0.023976246306085303,Eos,8.5,69000,Mirrodin
drone,0.8826523929545659,Gaia,6.7,92000,Mirrodin
drone,0.2526192507710041,Korhal,6.7,24000,Zendikar
drone,0.6849707287216197,Ravnica,7.3,47000,Dominaria
negator,0.810406471887858,Aiur,5.1,73000,Zendikar
scout,0.5010889201133326,Gaia,6.7,24000,Mirrodin
dreadnought,0.3723179459607153,Korhal,6.7,66000,Zendikar
drone,0.19970106709448932,Aiur,5.1,46000,Zendikar
zealot,0.8780640098422391,Ravnica,7.3,37000,Dominaria
overlord,0.21664149536714783,Ravnica,7.3,8000,Dominaria
drone,0.3386903013090583,Eos,8.5,61000,Mirrodin
mecha,0.6525135453394311,Gaia,6.7,53000,Mirrodin
negator,0.03657915948079338,Kamigawa,3.4,45000,Dominaria
