battle ID,fought at,monster ID,magic spell used,spell effectiveness,victory points
7000,2022-02-24T02:15:21.450178,1,wind,1,
7001,2022-02-24T02:15:21.450208,2,energy,2,
7002,2022-02-24T02:15:21.450214,3,fire,0,
7003,2022-02-24T02:15:21.450219,4,wind,0,
7004,2022-02-24T02:15:21.450223,5,wind,1,
7005,2022-02-24T02:15:21.450227,6,energy,1,
7006,2022-02-24T02:15:21.450232,7,earth,0,
7007,2022-02-24T02:15:21.450236,8,water,2,
7008,2022-02-24T02:15:21.450240,9,earth,0,
7009,2022-02-24T02:15:21.450244,10,earth,0,
7010,2022-02-24T02:15:21.450248,11,fire,1,
7011,2022-02-24T02:15:21.450252,12,water,0,
7012,2022-02-24T02:15:21.450256,13,fire,1,
7013,2022-02-24T02:15:21.450260,14,energy,1,
7014,2022-02-24T02:15:21.450264,15,fire,1,
7015,2022-02-24T02:15:21.450267,16,water,2,
7016,2022-02-24T02:15:21.450271,17,fire,0,
7017,2022-02-24T02:15:21.450275,18,earth,0,
7018,2022-02-24T02:15:21.450279,19,wind,1,
7019,2022-02-24T02:15:21.450283,20,fire,2,
7020,2022-02-24T02:15:21.450286,21,water,0,
7021,2022-02-24T02:15:21.450290,22,energy,1,
7022,2022-02-24T02:15:21.450294,23,wind,0,
7023,2022-02-24T02:15:21.450298,24,energy,1,
7024,2022-02-24T02:15:21.450302,25,wind,0,
7025,2022-02-24T02:15:21.450306,26,wind,1,
7026,2022-02-24T02:15:21.450310,27,fire,2,
7027,2022-02-24T02:15:21.450314,28,energy,1,
7028,2022-02-24T02:15:21.450318,29,fire,1,
7029,2022-02-24T02:15:21.450322,30,earth,0,
7030,2022-02-24T02:15:21.450326,31,energy,1,
7031,2022-02-24T02:15:21.450329,32,earth,0,
7032,2022-02-24T02:15:21.450333,33,wind,1,
7033,2022-02-24T02:15:21.450337,34,water,2,
7034,2022-02-24T02:15:21.450341,35,wind,0,
7035,2022-02-24T02:15:21.450344,36,earth,0,
7036,2022-02-24T02:15:21.450349,37,water,2,
7037,2022-02-24T02:15:21.450352,38,energy,1,
7038,2022-02-24T02:15:21.450356,39,earth,0,
7039,2022-02-24T02:15:21.450360,40,energy,2,
7040,2022-02-24T02:15:21.450364,41,water,2,
7041,2022-02-24T02:15:21.450367,42,water,2,
7042,2022-02-24T02:15:21.450371,43,fire,1,
7043,2022-02-24T02:15:21.450374,44,fire,1,
7044,2022-02-24T02:15:21.450378,45,earth,0,
7045,2022-02-24T02:15:21.450382,46,energy,1,
7046,2022-02-24T02:15:21.450385,47,water,2,
7047,2022-02-24T02:15:21.450389,48,earth,0,
7048,2022-02-24T02:15:21.450393,49,earth,0,
7049,2022-02-24T02:15:21.450397,50,fire,0,
7050,2022-02-24T02:15:21.450400,51,water,2,
7051,2022-02-24T02:15:21.450404,52,energy,1,
7052,2022-02-24T02:15:21.450408,53,wind,0,
7053,2022-02-24T02:15:21.450412,54,fire,1,
7054,2022-02-24T02:15:21.450416,55,fire,0,
7055,2022-02-24T02:15:21.450419,56,fire,1,
7056,2022-02-24T02:15:21.450423,57,earth,1,
7057,2022-02-24T02:15:21.450427,58,energy,1,
7058,2022-02-24T02:15:21.450431,59,earth,0,
7059,2022-02-24T02:15:21.450435,60,wind,0,
7060,2022-02-24T02:15:21.450439,61,earth,0,
7061,2022-02-24T02:15:21.450443,62,wind,1,
7062,2022-02-24T02:15:21.450447,63,fire,1,
7063,2022-02-24T02:15:21.450450,64,wind,1,
7064,2022-02-24T02:15:21.450454,65,water,2,
7065,2022-02-24T02:15:21.450458,66,wind,0,
7066,2022-02-24T02:15:21.450461,67,fire,0,
7067,2022-02-24T02:15:21.450465,68,fire,1,
7068,2022-02-24T02:15:21.450469,69,wind,0,
7069,2022-02-24T02:15:21.450473,70,fire,0,
7070,2022-02-24T02:15:21.450477,71,fire,0,
7071,2022-02-24T02:15:21.450481,72,earth,0,
7072,2022-02-24T02:15:21.450485,73,fire,0,
7073,2022-02-24T02:15:21.450490,74,fire,2,
7074,2022-02-24T02:15:21.450494,75,earth,0,
7075,2022-02-24T02:15:21.450498,76,earth,0,
7076,2022-02-24T02:15:21.450502,77,water,0,
7077,2022-02-24T02:15:21.450506,78,water,2,
7078,2022-02-24T02:15:21.450509,79,earth,0,
7079,2022-02-24T02:15:21.450513,80,wind,1,
7080,2022-02-24T02:15:21.450517,81,water,2,
7081,2022-02-24T02:15:21.450521,82,earth,0,
7082,2022-02-24T02:15:21.450525,83,fire,1,
7083,2022-02-24T02:15:21.450530,84,earth,2,
7084,2022-02-24T02:15:21.450534,85,fire,1,
7085,2022-02-24T02:15:21.450538,86,fire,0,
7086,2022-02-24T02:15:21.450542,87,earth,0,
7087,2022-02-24T02:15:21.450546,88,earth,0,
7088,2022-02-24T02:15:21.450550,89,wind,1,
7089,2022-02-24T02:15:21.450554,90,energy,1,
7090,2022-02-24T02:15:21.450558,91,energy,2,
7091,2022-02-24T02:15:21.450562,92,water,2,
7092,2022-02-24T02:15:21.450565,93,water,0,
7093,2022-02-24T02:15:21.450569,94,energy,2,
7094,2022-02-24T02:15:21.450573,95,earth,0,
7095,2022-02-24T02:15:21.450576,96,earth,0,
7096,2022-02-24T02:15:21.450580,97,earth,0,
7097,2022-02-24T02:15:21.450584,98,energy,2,
7098,2022-02-24T02:15:21.450588,99,fire,1,
7099,2022-02-24T02:15:21.450591,100,fire,1,
7100,2022-02-24T02:15:21.450595,101,water,0,
7101,2022-02-24T02:15:21.450598,102,fire,2,
7102,2022-02-24T02:15:21.450602,103,wind,0,
7103,2022-02-24T02:15:21.450606,104,water,0,
7104,2022-02-24T02:15:21.450610,105,wind,0,
7105,2022-02-24T02:15:21.450613,106,earth,0,
7106,2022-02-24T02:15:21.450617,107,fire,0,
7107,2022-02-24T02:15:21.450621,108,fire,2,
7108,2022-02-24T02:15:21.450624,109,wind,0,
7109,2022-02-24T02:15:21.450628,110,earth,2,
7110,2022-02-24T02:15:21.450631,111,wind,0,
7111,2022-02-24T02:15:21.450635,112,water,0,
7112,2022-02-24T02:15:21.450639,113,wind,1,
7113,2022-02-24T02:15:21.450644,114,fire,1,
7114,2022-02-24T02:15:21.450648,115,water,2,
7115,2022-02-24T02:15:21.450652,116,energy,1,
7116,2022-02-24T02:15:21.450656,117,wind,1,
7117,2022-02-24T02:15:21.450659,118,energy,2,
7118,2022-02-24T02:15:21.450663,119,earth,0,
7119,2022-02-24T02:15:21.450667,120,fire,1,
7120,2022-02-24T02:15:21.450671,121,water,0,
7121,2022-02-24T02:15:21.450675,122,wind,1,
7122,2022-02-24T02:15:21.450679,123,water,2,
7123,2022-02-24T02:15:21.450683,124,energy,1,
7124,2022-02-24T02:15:21.450687,125,water,0,
7125,2022-02-24T02:15:21.450691,126,wind,1,
7126,2022-02-24T02:15:21.450695,127,energy,2,
7127,2022-02-24T02:15:21.450700,128,fire,1,
7128,2022-02-24T02:15:21.450705,129,water,1,
7129,2022-02-24T02:15:21.450710,130,fire,1,
7130,2022-02-24T02:15:21.450714,131,energy,2,
7131,2022-02-24T02:15:21.450719,132,earth,1,
7132,2022-02-24T02:15:21.450723,133,water,0,
7133,2022-02-24T02:15:21.450727,134,earth,0,
7134,2022-02-24T02:15:21.450731,135,earth,0,
7135,2022-02-24T02:15:21.450735,136,water,1,
7136,2022-02-24T02:15:21.450738,137,energy,2,
7137,2022-02-24T02:15:21.450742,138,fire,2,
7138,2022-02-24T02:15:21.450746,139,earth,0,
7139,2022-02-24T02:15:21.450750,140,wind,0,
7140,2022-02-24T02:15:21.450754,141,water,0,
7141,2022-02-24T02:15:21.450757,142,energy,1,
7142,2022-02-24T02:15:21.450761,143,earth,0,
7143,2022-02-24T02:15:21.450765,144,wind,0,
7144,2022-02-24T02:15:21.450769,145,earth,2,
7145,2022-02-24T02:15:21.450772,146,earth,0,
7146,2022-02-24T02:15:21.450776,147,fire,2,
7147,2022-02-24T02:15:21.450779,148,wind,0,
7148,2022-02-24T02:15:21.450783,149,wind,1,
7149,2022-02-24T02:15:21.450787,150,wind,0,
7150,2022-02-24T02:15:21.450791,151,fire,2,
7151,2022-02-24T02:15:21.450794,152,earth,0,
7152,2022-02-24T02:15:21.450798,153,fire,1,
7153,2022-02-24T02:15:21.450802,154,fire,0,
7154,2022-02-24T02:15:21.450805,155,water,2,
7155,2022-02-24T02:15:21.450809,156,wind,1,
7156,2022-02-24T02:15:21.450812,157,earth,0,
7157,2022-02-24T02:15:21.450816,158,energy,1,
7158,2022-02-24T02:15:21.450820,159,fire,2,
7159,2022-02-24T02:15:21.450824,160,fire,2,
7160,2022-02-24T02:15:21.450828,161,wind,1,
7161,2022-02-24T02:15:21.450831,162,energy,1,
7162,2022-02-24T02:15:21.450835,163,energy,1,
7163,2022-02-24T02:15:21.450840,164,fire,1,
7164,2022-02-24T02:15:21.450843,165,fire,0,
7165,2022-02-24T02:15:21.450847,166,fire,2,
7166,2022-02-24T02:15:21.450851,167,energy,1,
7167,2022-02-24T02:15:21.450855,168,wind,1,
7168,2022-02-24T02:15:21.450858,169,wind,1,
7169,2022-02-24T02:15:21.450862,170,water,0,
7170,2022-02-24T02:15:21.450866,171,water,2,
7171,2022-02-24T02:15:21.450870,172,energy,2,
7172,2022-02-24T02:15:21.450873,173,fire,1,
7173,2022-02-24T02:15:21.450877,174,earth,1,
7174,2022-02-24T02:15:21.450881,175,earth,2,
7175,2022-02-24T02:15:21.450885,176,wind,0,
7176,2022-02-24T02:15:21.450889,177,water,1,
7177,2022-02-24T02:15:21.450893,178,fire,1,
7178,2022-02-24T02:15:21.450897,179,energy,1,
7179,2022-02-24T02:15:21.450900,180,water,1,
7180,2022-02-24T02:15:21.450904,181,water,0,
7181,2022-02-24T02:15:21.450908,182,earth,0,
7182,2022-02-24T02:15:21.450912,183,fire,1,
7183,2022-02-24T02:15:21.450915,184,water,2,
7184,2022-02-24T02:15:21.450919,185,wind,0,
7185,2022-02-24T02:15:21.450923,186,energy,1,
7186,2022-02-24T02:15:21.450926,187,water,0,
7187,2022-02-24T02:15:21.450930,188,earth,0,
7188,2022-02-24T02:15:21.450934,189,earth,0,
7189,2022-02-24T02:15:21.450937,190,wind,0,
7190,2022-02-24T02:15:21.450940,191,earth,0,
7191,2022-02-24T02:15:21.450944,192,wind,0,
7192,2022-02-24T02:15:21.450948,193,fire,0,
7193,2022-02-24T02:15:21.450952,194,wind,0,
7194,2022-02-24T02:15:21.450957,195,fire,1,
7195,2022-02-24T02:15:21.450960,196,wind,0,
