cancelled,contract length,days active,invites sent,money spent,occupation,used coupon code,user ID
no,monthly,143,1,456,engineering manager,yes,3001
no,monthly,43,14,1068,developer,no,3002
no,monthly,31,12,105,product manager,no,3003
no,annual,31,17,811,product manager,no,3004
no,monthly,19,4,970,developer,no,3005
no,monthly,76,18,244,product manager,no,3006
no,annual,62,6,355,engineering manager,no,3007
yes,monthly,72,2,1073,marketer,no,3008
no,monthly,119,18,870,developer,no,3009
no,annual,4,11,121,engineering manager,yes,3010
no,monthly,33,18,7,engineering manager,no,3011
no,monthly,146,17,276,developer,no,3012
no,monthly,43,15,14,developer,no,3013
no,monthly,47,20,1110,product manager,no,3014
no,monthly,130,3,876,engineering manager,no,3015
no,monthly,62,9,746,product manager,no,3016
no,annual,94,15,247,engineering manager,yes,3017
no,annual,39,16,322,engineering manager,yes,3018
no,monthly,112,3,393,developer,no,3019
yes,monthly,1,6,1139,designer,no,3020
no,monthly,144,6,601,engineering manager,no,3021
no,monthly,132,9,271,developer,no,3022
no,monthly,18,5,895,product manager,yes,3023
no,monthly,52,10,200,developer,no,3024
no,monthly,136,2,941,product manager,no,3025
yes,monthly,68,11,146,product manager,no,3026
no,monthly,136,10,70,product manager,no,3027
no,monthly,24,2,918,engineering manager,yes,3028
yes,monthly,78,12,206,developer,no,3029
no,monthly,8,15,684,engineering manager,no,3030
yes,monthly,71,5,1152,sales,yes,3031
no,monthly,0,9,8,developer,yes,3032
yes,monthly,55,12,993,marketer,no,3033
no,monthly,72,4,516,developer,yes,3034
no,monthly,77,20,276,product manager,no,3035
yes,annual,86,12,956,sales,no,3036
yes,monthly,46,8,117,developer,no,3037
no,annual,67,5,373,product manager,no,3038
no,monthly,77,17,302,product manager,no,3039
yes,monthly,46,5,821,designer,yes,3040
yes,monthly,13,10,481,marketer,no,3041
no,monthly,39,1,665,product manager,no,3042
no,monthly,147,7,84,engineering manager,no,3043
no,monthly,116,8,403,engineering manager,yes,3044
no,monthly,34,19,1144,engineering manager,no,3045
no,annual,71,7,222,developer,no,3046
no,monthly,141,13,834,product manager,yes,3047
yes,monthly,39,1,1110,designer,no,3048
no,monthly,77,12,670,developer,no,3049
no,monthly,90,16,245,developer,no,3050
no,monthly,147,12,610,developer,no,3051
no,monthly,114,1,971,product manager,no,3052
no,annual,40,20,1176,engineering manager,yes,3053
no,monthly,67,11,237,engineering manager,yes,3054
no,annual,129,0,623,product manager,no,3055
yes,monthly,56,3,727,designer,no,3056
yes,monthly,33,11,713,engineering manager,no,3057
no,annual,14,6,1089,engineering manager,yes,3058
yes,monthly,72,2,497,designer,no,3059
no,monthly,35,2,1059,engineering manager,yes,3060
yes,annual,31,12,701,engineering manager,no,3061
yes,monthly,56,2,676,engineering manager,no,3062
no,monthly,116,8,968,product manager,no,3063
no,monthly,40,13,671,engineering manager,no,3064
no,monthly,148,9,427,product manager,yes,3065
no,monthly,9,9,211,developer,yes,3066
yes,monthly,68,10,189,designer,no,3067
no,monthly,27,15,1114,engineering manager,yes,3068
no,monthly,135,19,55,product manager,no,3069
yes,annual,12,6,963,developer,yes,3070
no,monthly,10,7,1144,engineering manager,no,3071
no,monthly,41,18,677,product manager,no,3072
no,annual,104,6,80,developer,no,3073
yes,monthly,62,10,705,sales,no,3074
no,monthly,87,14,286,product manager,no,3075
no,annual,147,14,35,engineering manager,no,3076
no,monthly,136,3,448,engineering manager,no,3077
yes,monthly,32,3,901,engineering manager,no,3078
yes,monthly,18,8,949,developer,yes,3079
no,annual,144,1,8,developer,no,3080
no,annual,3,12,50,engineering manager,yes,3081
no,monthly,70,18,611,engineering manager,no,3082
no,annual,113,3,406,product manager,no,3083
no,monthly,95,5,729,product manager,no,3084
yes,annual,71,10,172,product manager,no,3085
yes,annual,47,8,898,product manager,no,3086
no,monthly,65,14,807,developer,no,3087
no,monthly,96,4,187,product manager,yes,3088
no,monthly,20,19,47,product manager,no,3089
yes,monthly,35,8,1088,sales,yes,3090
no,annual,66,16,976,product manager,no,3091
no,monthly,129,9,907,developer,no,3092
no,annual,89,1,954,product manager,no,3093
no,monthly,60,11,506,developer,yes,3094
no,annual,29,5,856,engineering manager,yes,3095
yes,monthly,58,4,737,sales,no,3096
no,monthly,110,0,248,developer,no,3097
no,monthly,123,12,709,product manager,no,3098
no,annual,7,8,170,developer,yes,3099
no,annual,8,15,962,product manager,no,3100
no,monthly,14,0,539,product manager,no,3101
yes,monthly,48,1,515,designer,no,3102
yes,annual,22,8,886,developer,no,3103
no,monthly,110,7,254,product manager,no,3104
no,annual,124,6,301,developer,no,3105
no,monthly,11,4,1075,developer,yes,3106
no,annual,36,12,708,developer,yes,3107
no,monthly,39,3,1002,developer,no,3108
yes,monthly,76,11,941,designer,yes,3109
yes,monthly,71,6,556,sales,yes,3110
no,annual,147,5,503,developer,yes,3111
no,monthly,82,9,324,developer,no,3112
no,monthly,122,11,355,developer,yes,3113
yes,monthly,74,1,134,sales,yes,3114
yes,monthly,56,8,647,designer,no,3115
no,annual,115,16,1124,engineering manager,yes,3116
no,annual,2,0,916,developer,yes,3117
no,monthly,135,16,155,engineering manager,no,3118
yes,monthly,53,4,941,designer,no,3119
no,monthly,24,6,1011,developer,no,3120
no,monthly,16,5,378,developer,no,3121
no,monthly,43,13,975,product manager,yes,3122
yes,monthly,20,6,1088,marketer,no,3123
no,monthly,79,20,603,product manager,yes,3124
no,annual,106,11,40,product manager,yes,3125
no,monthly,73,10,226,product manager,no,3126
no,annual,133,10,957,engineering manager,no,3127
yes,monthly,6,2,611,engineering manager,no,3128
no,monthly,11,13,227,product manager,yes,3129
no,annual,27,17,633,engineering manager,yes,3130
no,monthly,141,8,319,developer,yes,3131
no,monthly,92,9,730,engineering manager,no,3132
no,annual,125,15,595,developer,no,3133
no,monthly,120,11,896,product manager,yes,3134
yes,monthly,66,6,1009,product manager,no,3135
yes,monthly,26,10,925,designer,no,3136
no,monthly,19,18,98,developer,yes,3137
no,annual,48,20,427,engineering manager,no,3138
no,monthly,144,7,1137,product manager,no,3139
no,monthly,52,7,1102,product manager,no,3140
yes,monthly,90,7,217,engineering manager,yes,3141
yes,annual,18,0,940,sales,yes,3142
no,monthly,142,19,448,engineering manager,yes,3143
no,monthly,59,20,912,engineering manager,yes,3144
no,monthly,42,17,829,product manager,no,3145
yes,monthly,18,11,161,marketer,yes,3146
no,monthly,57,15,1042,developer,no,3147
no,monthly,109,3,800,developer,no,3148
no,monthly,31,15,954,engineering manager,yes,3149
no,monthly,84,4,23,product manager,no,3150
no,monthly,61,19,401,product manager,no,3151
no,monthly,96,5,564,developer,no,3152
no,monthly,132,18,698,product manager,no,3153
no,monthly,90,12,2,engineering manager,yes,3154
yes,monthly,36,6,903,developer,no,3155
no,monthly,70,14,401,engineering manager,yes,3156
yes,monthly,84,1,173,developer,no,3157
yes,annual,42,7,13,developer,yes,3158
no,monthly,23,6,882,developer,no,3159
yes,monthly,41,9,216,designer,no,3160
no,monthly,28,3,810,developer,no,3161
no,monthly,86,10,945,product manager,no,3162
no,annual,11,10,305,product manager,yes,3163
no,monthly,98,11,1094,product manager,no,3164
no,annual,21,17,421,engineering manager,no,3165
no,annual,119,12,728,developer,yes,3166
yes,monthly,30,5,570,engineering manager,yes,3167
no,monthly,84,12,1159,product manager,no,3168
no,monthly,29,11,563,developer,no,3169
yes,annual,6,5,610,developer,no,3170
no,monthly,6,8,40,product manager,no,3171
no,monthly,48,17,1141,product manager,yes,3172
yes,monthly,40,3,746,engineering manager,no,3173
no,monthly,63,3,308,developer,yes,3174
no,monthly,70,15,94,engineering manager,no,3175
yes,annual,43,11,1006,engineering manager,no,3176
no,monthly,13,8,125,engineering manager,no,3177
no,annual,53,2,1047,developer,no,3178
yes,monthly,24,6,525,developer,yes,3179
yes,monthly,60,5,746,engineering manager,no,3180
no,annual,111,5,703,engineering manager,no,3181
no,monthly,146,7,916,engineering manager,yes,3182
no,annual,139,7,637,product manager,yes,3183
no,monthly,53,6,232,engineering manager,no,3184
yes,annual,33,6,1115,designer,yes,3185
no,monthly,43,20,653,product manager,no,3186
