monster ID,monster type,number of arms,number of legs,power level,uuid
1,spider,4,4,61,300
2,goblin,3,2,8,300
3,dragon,2,4,82,300
4,goblin,1,2,29,300
5,spider,4,4,57,300
6,ghost,1,2,53,300
7,dragon,2,2,100,300
8,spider,4,4,70,300
9,spider,4,4,68,300
10,dragon,4,2,82,300
11,goblin,1,2,22,300
12,ghost,2,0,32,300
13,ghost,1,2,46,300
14,spider,4,4,57,300
15,ghost,1,0,48,300
16,dragon,2,2,87,300
17,spider,4,4,37,300
18,dragon,4,2,92,300
19,dragon,2,4,98,300
20,goblin,3,2,26,300
21,goblin,1,2,3,300
22,spider,4,4,53,300
23,dragon,4,4,93,300
24,dragon,4,2,83,300
25,goblin,1,2,20,300
26,spider,4,4,48,300
27,ghost,0,2,33,300
28,dragon,2,2,87,300
29,dragon,4,2,83,300
30,dragon,4,2,95,300
31,spider,4,4,52,300
32,dragon,2,4,84,300
33,zombie,1,2,38,300
34,spider,4,4,60,300
35,dragon,2,2,81,300
36,goblin,1,2,27,300
37,dragon,4,2,81,300
38,goblin,4,2,5,300
39,ghost,2,0,43,300
40,goblin,3,2,30,300
41,spider,4,4,53,300
42,goblin,1,2,29,300
43,zombie,2,1,14,300
44,goblin,4,2,28,300
45,spider,4,4,59,300
46,spider,4,4,63,300
47,spider,4,4,36,300
48,dragon,2,2,82,300
49,goblin,3,2,1,300
50,dragon,4,4,88,300
51,spider,4,4,52,300
52,spider,4,4,50,300
53,goblin,3,2,13,300
54,zombie,1,0,40,300
55,dragon,2,4,82,300
56,zombie,2,0,28,300
57,zombie,1,2,12,300
58,zombie,1,0,19,300
59,goblin,2,2,19,300
60,zombie,0,0,36,300
61,dragon,4,2,90,300
62,dragon,4,2,95,300
63,ghost,1,0,40,300
64,spider,4,4,66,300
65,goblin,2,2,26,300
66,goblin,4,2,5,300
67,zombie,2,2,39,300
68,ghost,0,2,38,300
69,goblin,4,2,16,300
70,zombie,1,1,20,300
71,zombie,2,2,14,300
72,spider,4,4,68,300
73,dragon,2,4,90,300
74,goblin,3,2,24,300
75,spider,4,4,48,300
76,spider,4,4,51,300
77,zombie,0,0,10,300
78,dragon,2,2,88,300
79,goblin,3,2,30,300
80,ghost,0,2,35,300
81,goblin,1,2,19,300
82,dragon,2,4,91,300
83,goblin,3,2,21,300
84,zombie,2,0,34,300
85,ghost,0,2,30,300
86,zombie,1,1,12,300
87,spider,4,4,58,300
88,spider,4,4,52,300
89,spider,4,4,62,300
90,goblin,2,2,18,300
91,ghost,2,2,52,300
92,goblin,1,2,26,300
93,ghost,0,0,42,300
94,goblin,2,2,18,300
95,dragon,2,2,80,300
96,ghost,1,2,32,300
97,goblin,2,2,17,300
98,goblin,3,2,9,300
99,spider,4,4,43,300
100,zombie,0,1,25,300
101,ghost,0,2,52,300
102,ghost,0,0,37,300
103,zombie,0,0,19,300
