user ID,meal transaction ID,paid at,restaurant ID,cuisine,revenue,ambience,rating,award winning dishes,number of reviews
908,7000,2022-03-11T02:36:10.726064,1,Breakfast and brunch,100,casual,2,2,17
1314,7001,2022-03-11T02:36:10.726218,2,Tapas,200,bar,0,2,18
241,7002,2022-03-11T02:36:10.726224,3,Steakhouse,100,bar,2,2,28
706,7003,2022-03-11T02:36:10.726229,4,Seafood,200,family friendly,2,2,88
1253,7004,2022-03-11T02:36:10.726233,5,Steakhouse,300,fancy,4,4,75
1149,7005,2022-03-11T02:36:10.726238,6,Tapas,200,family friendly,2,4,90
293,7006,2022-03-11T02:36:10.726242,7,Steakhouse,100,bar,1,1,10
260,7007,2022-03-11T02:36:10.726247,8,Steakhouse,100,romantic,1,2,53
396,7008,2022-03-11T02:36:10.726252,9,Steakhouse,100,bar,1,1,34
1380,7009,2022-03-11T02:36:10.726256,10,Breakfast and brunch,100,fancy,4,4,75
1069,7010,2022-03-11T02:36:10.726262,11,Burgers,100,bar,0,1,37
254,7011,2022-03-11T02:36:10.726266,12,Breakfast and brunch,100,fancy,4,4,62
570,7012,2022-03-11T02:36:10.726271,13,Seafood,100,family friendly,4,4,97
60,7013,2022-03-11T02:36:10.726275,14,Breakfast and brunch,300,bar,2,0,15
1278,7014,2022-03-11T02:36:10.726280,15,Burgers,200,romantic,2,2,46
1037,7015,2022-03-11T02:36:10.726284,16,Burgers,200,fancy,4,4,68
990,7016,2022-03-11T02:36:10.726288,17,Tapas,200,family friendly,2,4,95
1421,7017,2022-03-11T02:36:10.726293,18,Burgers,200,romantic,0,0,39
968,7018,2022-03-11T02:36:10.726297,19,Burgers,200,family friendly,2,4,98
21,7019,2022-03-11T02:36:10.726302,20,Burgers,200,family friendly,2,2,93
329,7020,2022-03-11T02:36:10.726306,21,Tapas,300,casual,1,2,5
1075,7021,2022-03-11T02:36:10.726311,22,Burgers,200,fancy,4,4,48
1365,7022,2022-03-11T02:36:10.726315,23,Burgers,100,casual,1,2,10
318,7023,2022-03-11T02:36:10.726320,24,Steakhouse,100,casual,2,2,0
842,7024,2022-03-11T02:36:10.726324,25,Seafood,100,fancy,4,4,66
1243,7025,2022-03-11T02:36:10.726329,26,Steakhouse,100,romantic,2,2,35
391,7026,2022-03-11T02:36:10.726333,27,Breakfast and brunch,100,casual,1,2,17
856,7027,2022-03-11T02:36:10.726337,28,Burgers,100,casual,1,2,9
971,7028,2022-03-11T02:36:10.726344,29,Breakfast and brunch,100,family friendly,4,4,81
20,7029,2022-03-11T02:36:10.726349,30,Steakhouse,300,fancy,4,4,47
1182,7030,2022-03-11T02:36:10.726353,31,Seafood,200,casual,2,2,5
774,7031,2022-03-11T02:36:10.726360,32,Seafood,200,fancy,4,4,62
1155,7032,2022-03-11T02:36:10.726364,33,Breakfast and brunch,100,romantic,2,0,46
700,7033,2022-03-11T02:36:10.726369,34,Burgers,200,fancy,4,4,45
22,7034,2022-03-11T02:36:10.726376,35,Seafood,300,romantic,1,0,60
60,7035,2022-03-11T02:36:10.726381,36,Tapas,200,casual,3,2,28
88,7036,2022-03-11T02:36:10.726385,37,Burgers,100,casual,3,2,14
1109,7037,2022-03-11T02:36:10.726389,38,Tapas,200,fancy,4,4,43
1236,7038,2022-03-11T02:36:10.726393,39,Steakhouse,100,romantic,2,2,36
1420,7039,2022-03-11T02:36:10.726398,40,Steakhouse,200,fancy,4,4,66
71,7040,2022-03-11T02:36:10.726402,41,Tapas,200,fancy,4,4,70
1330,7041,2022-03-11T02:36:10.726407,42,Breakfast and brunch,100,casual,2,2,21
599,7042,2022-03-11T02:36:10.726411,43,Burgers,200,fancy,4,4,60
510,7043,2022-03-11T02:36:10.726415,44,Burgers,200,bar,1,0,16
1232,7044,2022-03-11T02:36:10.726420,45,Burgers,200,fancy,4,4,35
392,7045,2022-03-11T02:36:10.726424,46,Seafood,100,fancy,4,4,46
89,7046,2022-03-11T02:36:10.726428,47,Breakfast and brunch,100,romantic,1,0,48
121,7047,2022-03-11T02:36:10.726433,48,Tapas,200,fancy,4,4,39
813,7048,2022-03-11T02:36:10.726437,49,Tapas,200,romantic,2,2,48
856,7049,2022-03-11T02:36:10.726442,50,Burgers,200,fancy,4,4,55
560,7050,2022-03-11T02:36:10.726446,51,Breakfast and brunch,100,casual,4,2,2
1393,7051,2022-03-11T02:36:10.726451,52,Tapas,300,romantic,1,0,34
1330,7052,2022-03-11T02:36:10.726455,53,Seafood,200,romantic,2,0,58
583,7053,2022-03-11T02:36:10.726459,54,Tapas,200,romantic,1,0,30
1009,7054,2022-03-11T02:36:10.726463,55,Burgers,200,family friendly,2,4,89
1040,7055,2022-03-11T02:36:10.726468,56,Steakhouse,300,family friendly,2,4,96
404,7056,2022-03-11T02:36:10.726472,57,Breakfast and brunch,100,fancy,4,4,67
295,7057,2022-03-11T02:36:10.726476,58,Seafood,200,fancy,4,4,39
332,7058,2022-03-11T02:36:10.726481,59,Seafood,200,fancy,4,4,35
1398,7059,2022-03-11T02:36:10.726485,60,Seafood,100,bar,1,1,21
265,7060,2022-03-11T02:36:10.726490,61,Breakfast and brunch,100,family friendly,2,4,98
186,7061,2022-03-11T02:36:10.726494,62,Tapas,200,family friendly,2,4,87
1258,7062,2022-03-11T02:36:10.726498,63,Burgers,100,romantic,2,2,56
562,7063,2022-03-11T02:36:10.726503,64,Seafood,200,casual,3,2,22
815,7064,2022-03-11T02:36:10.726507,65,Burgers,200,bar,0,0,31
997,7065,2022-03-11T02:36:10.726511,66,Tapas,200,family friendly,2,4,99
686,7066,2022-03-11T02:36:10.726516,67,Tapas,200,family friendly,2,4,87
35,7067,2022-03-11T02:36:10.726520,68,Tapas,300,family friendly,4,2,88
1231,7068,2022-03-11T02:36:10.726525,69,Steakhouse,300,family friendly,4,2,88
361,7069,2022-03-11T02:36:10.726529,70,Breakfast and brunch,100,fancy,4,4,70
577,7070,2022-03-11T02:36:10.726533,71,Steakhouse,300,family friendly,4,4,99
76,7071,2022-03-11T02:36:10.726538,72,Tapas,200,bar,1,0,13
800,7072,2022-03-11T02:36:10.726542,73,Seafood,100,bar,2,1,12
777,7073,2022-03-11T02:36:10.726547,74,Burgers,100,casual,4,2,6
1196,7074,2022-03-11T02:36:10.726551,75,Breakfast and brunch,100,family friendly,4,4,91
712,7075,2022-03-11T02:36:10.726556,76,Burgers,100,casual,1,2,6
224,7076,2022-03-11T02:36:10.726560,77,Tapas,200,bar,0,0,21
1183,7077,2022-03-11T02:36:10.726565,78,Tapas,300,family friendly,2,2,84
476,7078,2022-03-11T02:36:10.726569,79,Burgers,100,family friendly,4,4,92
671,7079,2022-03-11T02:36:10.726573,80,Burgers,100,bar,0,0,40
240,7080,2022-03-11T02:36:10.726578,81,Steakhouse,300,casual,3,2,4
498,7081,2022-03-11T02:36:10.726582,82,Seafood,200,family friendly,2,2,83
409,7082,2022-03-11T02:36:10.726587,83,Seafood,100,bar,2,0,19
4,7083,2022-03-11T02:36:10.726591,84,Seafood,300,casual,4,2,26
1204,7084,2022-03-11T02:36:10.726595,85,Seafood,200,romantic,2,2,48
1307,7085,2022-03-11T02:36:10.726600,86,Seafood,200,family friendly,4,2,86
559,7086,2022-03-11T02:36:10.726604,87,Burgers,200,bar,2,1,26
974,7087,2022-03-11T02:36:10.726608,88,Breakfast and brunch,100,romantic,1,0,52
472,7088,2022-03-11T02:36:10.726613,89,Steakhouse,300,family friendly,2,2,94
90,7089,2022-03-11T02:36:10.726617,90,Breakfast and brunch,100,casual,2,2,17
566,7090,2022-03-11T02:36:10.726622,91,Steakhouse,100,romantic,0,0,48
1363,7091,2022-03-11T02:36:10.726626,92,Burgers,100,romantic,0,2,50
1287,7092,2022-03-11T02:36:10.726631,93,Seafood,200,romantic,0,2,31
649,7093,2022-03-11T02:36:10.726635,94,Breakfast and brunch,100,fancy,4,4,66
418,7094,2022-03-11T02:36:10.726640,95,Burgers,100,family friendly,4,2,89
1027,7095,2022-03-11T02:36:10.726644,96,Breakfast and brunch,100,fancy,4,4,54
1197,7096,2022-03-11T02:36:10.726648,97,Seafood,200,fancy,4,4,75
805,7097,2022-03-11T02:36:10.726652,98,Seafood,200,bar,2,0,12
779,7098,2022-03-11T02:36:10.726656,99,Tapas,300,casual,1,2,23
1321,7099,2022-03-11T02:36:10.726661,100,Tapas,300,casual,4,2,21
453,7100,2022-03-11T02:36:10.726665,1,Steakhouse,100,casual,2,2,17
19,7101,2022-03-11T02:36:10.726670,2,Seafood,100,bar,0,2,18
104,7102,2022-03-11T02:36:10.726674,3,Breakfast and brunch,200,bar,2,2,28
346,7103,2022-03-11T02:36:10.726678,4,Steakhouse,300,family friendly,2,2,88
1226,7104,2022-03-11T02:36:10.726683,5,Steakhouse,300,fancy,4,4,75
1308,7105,2022-03-11T02:36:10.726687,6,Steakhouse,300,family friendly,2,4,90
1271,7106,2022-03-11T02:36:10.726691,7,Steakhouse,100,bar,1,1,10
1037,7107,2022-03-11T02:36:10.726696,8,Seafood,200,romantic,1,2,53
1004,7108,2022-03-11T02:36:10.726700,9,Seafood,100,bar,1,1,34
1127,7109,2022-03-11T02:36:10.726704,10,Seafood,100,fancy,4,4,75
1127,7110,2022-03-11T02:36:10.726708,11,Burgers,200,bar,0,1,37
211,7111,2022-03-11T02:36:10.726713,12,Tapas,200,fancy,4,4,62
1151,7112,2022-03-11T02:36:10.726717,13,Burgers,100,family friendly,4,4,97
408,7113,2022-03-11T02:36:10.726721,14,Steakhouse,100,bar,2,0,15
573,7114,2022-03-11T02:36:10.726725,15,Seafood,300,romantic,2,2,46
1216,7115,2022-03-11T02:36:10.726730,16,Breakfast and brunch,100,fancy,4,4,68
795,7116,2022-03-11T02:36:10.726734,17,Burgers,200,family friendly,2,4,95
1212,7117,2022-03-11T02:36:10.726738,18,Steakhouse,100,romantic,0,0,39
1044,7118,2022-03-11T02:36:10.726743,19,Seafood,100,family friendly,2,4,98
390,7119,2022-03-11T02:36:10.726747,20,Steakhouse,300,family friendly,2,2,93
899,7120,2022-03-11T02:36:10.726751,21,Tapas,200,casual,1,2,5
722,7121,2022-03-11T02:36:10.726756,22,Seafood,100,fancy,4,4,48
187,7122,2022-03-11T02:36:10.726760,23,Tapas,200,casual,1,2,10
1388,7123,2022-03-11T02:36:10.726764,24,Burgers,100,casual,2,2,0
557,7124,2022-03-11T02:36:10.726769,25,Breakfast and brunch,100,fancy,4,4,66
20,7125,2022-03-11T02:36:10.726773,26,Burgers,200,romantic,2,2,35
1223,7126,2022-03-11T02:36:10.726777,27,Seafood,300,casual,1,2,17
1087,7127,2022-03-11T02:36:10.726782,28,Tapas,200,casual,1,2,9
690,7128,2022-03-11T02:36:10.726786,29,Tapas,300,family friendly,4,4,81
1344,7129,2022-03-11T02:36:10.726791,30,Breakfast and brunch,100,fancy,4,4,47
160,7130,2022-03-11T02:36:10.726795,31,Breakfast and brunch,100,casual,2,2,5
1015,7131,2022-03-11T02:36:10.726799,32,Burgers,200,fancy,4,4,62
557,7132,2022-03-11T02:36:10.726803,33,Tapas,300,romantic,2,0,46
813,7133,2022-03-11T02:36:10.726808,34,Steakhouse,300,fancy,4,4,45
939,7134,2022-03-11T02:36:10.726812,35,Seafood,300,romantic,1,0,60
50,7135,2022-03-11T02:36:10.726817,36,Burgers,100,casual,3,2,28
1128,7136,2022-03-11T02:36:10.726821,37,Tapas,300,casual,3,2,14
284,7137,2022-03-11T02:36:10.726825,38,Seafood,100,fancy,4,4,43
1395,7138,2022-03-11T02:36:10.726829,39,Burgers,100,romantic,2,2,36
473,7139,2022-03-11T02:36:10.726834,40,Burgers,200,fancy,4,4,66
1361,7140,2022-03-11T02:36:10.726838,41,Seafood,200,fancy,4,4,70
1016,7141,2022-03-11T02:36:10.726842,42,Seafood,200,casual,2,2,21
1214,7142,2022-03-11T02:36:10.726846,43,Burgers,200,fancy,4,4,60
261,7143,2022-03-11T02:36:10.726851,44,Tapas,200,bar,1,0,16
1272,7144,2022-03-11T02:36:10.726855,45,Burgers,200,fancy,4,4,35
810,7145,2022-03-11T02:36:10.726860,46,Seafood,100,fancy,4,4,46
1276,7146,2022-03-11T02:36:10.726864,47,Burgers,100,romantic,1,0,48
1053,7147,2022-03-11T02:36:10.726868,48,Breakfast and brunch,100,fancy,4,4,39
1039,7148,2022-03-11T02:36:10.726873,49,Tapas,200,romantic,2,2,48
354,7149,2022-03-11T02:36:10.726877,50,Seafood,200,fancy,4,4,55
1190,7150,2022-03-11T02:36:10.726881,51,Steakhouse,100,casual,4,2,2
669,7151,2022-03-11T02:36:10.726886,52,Steakhouse,100,romantic,1,0,34
1170,7152,2022-03-11T02:36:10.726890,53,Steakhouse,100,romantic,2,0,58
628,7153,2022-03-11T02:36:10.726894,54,Seafood,300,romantic,1,0,30
283,7154,2022-03-11T02:36:10.726899,55,Breakfast and brunch,100,family friendly,2,4,89
211,7155,2022-03-11T02:36:10.726903,56,Tapas,300,family friendly,2,4,96
1283,7156,2022-03-11T02:36:10.726907,57,Steakhouse,200,fancy,4,4,67
152,7157,2022-03-11T02:36:10.726911,58,Seafood,100,fancy,4,4,39
1321,7158,2022-03-11T02:36:10.726915,59,Seafood,100,fancy,4,4,35
449,7159,2022-03-11T02:36:10.726920,60,Seafood,100,bar,1,1,21
579,7160,2022-03-11T02:36:10.726924,61,Seafood,100,family friendly,2,4,98
75,7161,2022-03-11T02:36:10.726928,62,Steakhouse,300,family friendly,2,4,87
396,7162,2022-03-11T02:36:10.726932,63,Tapas,200,romantic,2,2,56
1014,7163,2022-03-11T02:36:10.726937,64,Tapas,300,casual,3,2,22
326,7164,2022-03-11T02:36:10.726941,65,Tapas,200,bar,0,0,31
907,7165,2022-03-11T02:36:10.726945,66,Breakfast and brunch,100,family friendly,2,4,99
247,7166,2022-03-11T02:36:10.726949,67,Seafood,100,family friendly,2,4,87
127,7167,2022-03-11T02:36:10.726953,68,Steakhouse,300,family friendly,4,2,88
989,7168,2022-03-11T02:36:10.726958,69,Breakfast and brunch,100,family friendly,4,2,88
601,7169,2022-03-11T02:36:10.726962,70,Tapas,200,fancy,4,4,70
692,7170,2022-03-11T02:36:10.726966,71,Seafood,200,family friendly,4,4,99
1179,7171,2022-03-11T02:36:10.726970,72,Breakfast and brunch,200,bar,1,0,13
589,7172,2022-03-11T02:36:10.726975,73,Steakhouse,100,bar,2,1,12
272,7173,2022-03-11T02:36:10.726979,74,Steakhouse,300,casual,4,2,6
1083,7174,2022-03-11T02:36:10.726983,75,Tapas,200,family friendly,4,4,91
62,7175,2022-03-11T02:36:10.726988,76,Burgers,100,casual,1,2,6
639,7176,2022-03-11T02:36:10.726992,77,Tapas,200,bar,0,0,21
794,7177,2022-03-11T02:36:10.726996,78,Seafood,100,family friendly,2,2,84
761,7178,2022-03-11T02:36:10.727000,79,Seafood,200,family friendly,4,4,92
1058,7179,2022-03-11T02:36:10.727005,80,Tapas,200,bar,0,0,40
522,7180,2022-03-11T02:36:10.727009,81,Seafood,300,casual,3,2,4
828,7181,2022-03-11T02:36:10.727013,82,Steakhouse,300,family friendly,2,2,83
666,7182,2022-03-11T02:36:10.727018,83,Steakhouse,100,bar,2,0,19
900,7183,2022-03-11T02:36:10.727022,84,Breakfast and brunch,100,casual,4,2,26
734,7184,2022-03-11T02:36:10.727026,85,Tapas,200,romantic,2,2,48
1038,7185,2022-03-11T02:36:10.727030,86,Steakhouse,300,family friendly,4,2,86
500,7186,2022-03-11T02:36:10.727035,87,Tapas,200,bar,2,1,26
380,7187,2022-03-11T02:36:10.727039,88,Seafood,300,romantic,1,0,52
1021,7188,2022-03-11T02:36:10.727043,89,Tapas,200,family friendly,2,2,94
37,7189,2022-03-11T02:36:10.727047,90,Steakhouse,300,casual,2,2,17
1379,7190,2022-03-11T02:36:10.727052,91,Steakhouse,100,romantic,0,0,48
1302,7191,2022-03-11T02:36:10.727056,92,Burgers,200,romantic,0,2,50
79,7192,2022-03-11T02:36:10.727060,93,Tapas,200,romantic,0,2,31
756,7193,2022-03-11T02:36:10.727064,94,Burgers,200,fancy,4,4,66
1196,7194,2022-03-11T02:36:10.727069,95,Breakfast and brunch,100,family friendly,4,2,89
1406,7195,2022-03-11T02:36:10.727073,96,Seafood,200,fancy,4,4,54
739,7196,2022-03-11T02:36:10.727077,97,Breakfast and brunch,100,fancy,4,4,75
5,7197,2022-03-11T02:36:10.727081,98,Tapas,200,bar,2,0,12
419,7198,2022-03-11T02:36:10.727086,99,Steakhouse,100,casual,1,2,23
